id;paisagem;coleta;amostra;pH;EC;OD;TDS;Temp;ColF;ColT;Sol;Turb;PT;Nit;Nitra;fma;ca;sil;NumP;MPS;ED;TE;MPE;MSI
60F30CB13;4;2;3;7.51;32;6.38;16;16.4;160;1120;1.33;5.33;0;0;0.045;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB13;4;3;1;8.94;31;4.7;15;24.2;720;4080;2.3;11.9;0.021;0.005;0.043;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB13;4;3;2;8.94;31;4.7;15;24.2;720;4080;3.9;10.3;0;0.004;0.04;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB13;4;3;3;8.94;31;4.7;15;24.2;720;4080;3.1;11.1;0.012;0.004;0.039;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB13;4;4;1;8.82;30;4.49;16;23.1;240;2320;6;8.98;0.014;0.005;0.039;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB13;4;4;2;8.82;30;4.49;16;23.1;240;2320;4;9.36;0;0.006;0.039;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB13;4;4;3;8.82;30;4.49;16;23.1;240;2320;5;8.09;0;0.006;0.026;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB13;4;5;1;7;27;5.48;13;18.6;960;2000;3.2;4.49;0;0.002;0.069;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB13;4;5;2;7;27;5.48;13;18.6;960;2000;4.93;4.32;0.012;0.003;0.071;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB13;4;5;3;7;27;5.48;13;18.6;960;2000;4.06;4.45;0;0;0.059;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB14;5;1;1;7.45;20;8.7;9;16.9;0;1120;0.3;1.79;0;0.0038;0.0498;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB14;5;1;2;7.45;20;8.7;9;16.9;0;1120;0;1.43;0;0;0.0226;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB14;5;1;3;7.45;20;8.7;9;16.9;0;1120;0.15;1.4;0;0;0.0402;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
60F30CB14;5;2;1;7.57;19;7.76;10;17.8;0;160;0.3;0.76;0;0;0.1666;60;47.98;0.01;28;22.714;3.709;55280.276;1974.296;1.967
